trans,Year,time.since,Species,number
Gordon-1,1999,1,Paper birch,1
Gordon-1,2000,2,Black spruce,2
Gordon-1,2000,2,Paper birch,1
Gordon-1,2001,3,Black spruce,5
Gordon-1,2001,3,Paper birch,3
Gordon-1,2002,4,Black spruce,9
Gordon-1,2002,4,Paper birch,7
Gordon-1,2003,5,Black spruce,21
Gordon-1,2003,5,Paper birch,12
Gordon-1,2004,6,Black spruce,22
Gordon-1,2004,6,Paper birch,13
Gordon-1,2005,7,Black spruce,27
Gordon-1,2005,7,Paper birch,12
Gordon-1,2006,8,Black spruce,37
Gordon-1,2006,8,Paper birch,12
Gordon-1,2007,9,Black spruce,39
Gordon-1,2007,9,Paper birch,12
Gordon-1,2008,10,Black spruce,41
Gordon-1,2008,10,Paper birch,13
Gordon-2,2001,3,Black spruce,2
Gordon-2,2001,3,Paper birch,5
Gordon-2,2002,4,Black spruce,8
Gordon-2,2002,4,Paper birch,14
Gordon-2,2003,5,Black spruce,11
Gordon-2,2003,5,Paper birch,26
Gordon-2,2004,6,Black spruce,15
Gordon-2,2004,6,Paper birch,33
Gordon-2,2005,7,Black spruce,19
Gordon-2,2005,7,Paper birch,33
Gordon-2,2006,8,Black spruce,22
Gordon-2,2006,8,Paper birch,38
Gordon-2,2007,9,Black spruce,23
Gordon-2,2007,9,Paper birch,38
Gordon-2,2008,10,Black spruce,26
Gordon-2,2008,10,Paper birch,37
Gordon-3,1999,1,Paper birch,1
Gordon-3,2000,2,Paper birch,1
Gordon-3,2001,3,Black spruce,1
Gordon-3,2001,3,Jack pine,19
Gordon-3,2001,3,Paper birch,3
Gordon-3,2002,4,Jack pine,21
Gordon-3,2002,4,Paper birch,4
Gordon-3,2003,5,Black spruce,6
Gordon-3,2003,5,Jack pine,31
Gordon-3,2003,5,Paper birch,7
Gordon-3,2004,6,Black spruce,6
Gordon-3,2004,6,Jack pine,31
Gordon-3,2004,6,Paper birch,9
Gordon-3,2005,7,Black spruce,8
Gordon-3,2005,7,Jack pine,36
Gordon-3,2005,7,Paper birch,9
Gordon-3,2006,8,Black spruce,8
Gordon-3,2006,8,Jack pine,35
Gordon-3,2006,8,Paper birch,10
Gordon-3,2007,9,Black spruce,8
Gordon-3,2007,9,Jack pine,35
Gordon-3,2007,9,Paper birch,8
Gordon-3,2008,10,Black spruce,8
Gordon-3,2008,10,Jack pine,33
Gordon-3,2008,10,Paper birch,8
Gordon-4,1999,3,Black spruce,1
Gordon-4,1999,3,Paper birch,5
Gordon-4,2000,4,Black spruce,4
Gordon-4,2000,4,Paper birch,22
Gordon-4,2001,5,Black spruce,22
Gordon-4,2001,5,Jack pine,2
Gordon-4,2001,5,Paper birch,59
Gordon-4,2002,6,Black spruce,37
Gordon-4,2002,6,Paper birch,72
Gordon-4,2003,7,Black spruce,55
Gordon-4,2003,7,Paper birch,80
